"CERT","CHCLASS1","CITYST","COST","FAILDATE","FIN","ID","NAME","QBFASSET","QBFDEP","RESTYPE","RESTYPE1","SAVR"
"16560","N","EL PASO, TX","0","10/30/1992","4530","3400","FIRST CITY, TEXAS - EL PASO, NA","395894","367322","FAILURE","PA","BIF"
"17299","SM","KOUNTZE, TX","0","10/30/1992","4533","3401","FIRST CITY, TEXAS - KOUNTZE, NA","51347","46969","FAILURE","PA","BIF"
"17343","NM","ALICE, TX","0","10/30/1992","4523","3402","FIRST CITY, TEXAS - ALICE, NA","128044","118027","FAILURE","PA","BIF"
"20029","NM","ARANSAS PASS, TX","0","10/30/1992","4524","3403","FIRST CITY, TEXAS - ARANSAS PASS","51695","47213","FAILURE","PA","BIF"
"21190","SM","CORPUS CHRISTI, TX","0","10/30/1992","4528","3404","FIRST CITY, TEXAS - CORPUS CHRIS","462832","383384","FAILURE","PA","BIF"
"24723","N","SAN ANTONIO, TX","0","10/30/1992","4540","3405","FIRST CITY, TEXAS - SAN ANTONIO","265669","259018","FAILURE","PI","BIF"
"28218","SL","SAN FRANCISCO, CA","19189","10/30/1992","1236","3406","HOMESTEAD FSA","1314538","1234402","FAILURE","PI","RTC"
"27456","NM","BETHEL, CT","9775","11/6/1992","4544","3407","GREENWOOD BANK OF BETHEL, INC.","33255","33160","FAILURE","PA","BIF"
"30159","SB","WINDER, GA","4423","11/6/1992","1242","3408","FIRST FSB OF GEORGIA, FA","108173","97532","FAILURE","PA","RTC"
"17085","NM","WALTHAM, MA","60206","11/13/1992","4545","3409","GUARANTY-FIRST TRUST COMPANY","353230","348942","FAILURE","PI","BIF"
"21199","NM","KANSAS CITY, MO","159537","11/13/1992","4546","3410","METRO NORTH STATE BANK","472467","493828","FAILURE","PI","BIF"
"22073","NM","NEW YORK, NY","164561","11/13/1992","4549","3411","FIRST NEW YORK BANK FOR BUSINESS","530651","498907","FAILURE","PI","BIF"
"25721","NM","GRETNA, LA","4787","11/13/1992","4547","3412","INVESTORS BANK AND TRUST COMPANY","51586","50767","FAILURE","PA","BIF"
"26656","NM","REDWOOD CITY, CA","2341","11/13/1992","4548","3413","STATEWIDE THRIFT AND LOAN CO.","9636","9455","FAILURE","PA","BIF"
"30655","SL","OVERLAND PARK, KS","6406","11/13/1992","1229","3414","THE OVERLAND PARK FS & LA","213413","95324","FAILURE","PA","RTC"
"15886","SM","KANSAS CITY, MO","123159","11/20/1992","4550","3415","THE MERCHANTS BANK","1451535","1395338","FAILURE","PI","BIF"
"27660","SB","CHICAGO, IL","4589","11/20/1992","1254","3416","IRVING FB FOR SAVINGS","246965","246268","FAILURE","PA","RTC"
"28394","SL","NEW MILFORD, NJ","35138","11/20/1992","1275","3417","POLIFLY FS & LA","457974","374000","FAILURE","PA","RTC"
